"","REVENUE","MOU","RECCHRGE","DIRECTAS","OVERAGE","ROAM","CHANGEM","CHANGER","DROPVCE","BLCKVCE","UNANSVCE","CUSTCARE","THREEWAY","MOUREC","OUTCALLS","INCALLS","PEAKVCE","OPEAKVCE","DROPBLK","CALLFWDV","CALLWAIT","MONTHS","PHONES","MODELS","EQPDAYS","SETPRC"
"REVENUE",1,0.718344408521281,0.661842181615549,0.444988494335427,0.786046203469864,0.268830809509617,-0.0203438347627791,-0.0244032925798247,0.477245638795893,0.267232686050066,0.492598875019961,0.235424918693705,0.259243208732127,0.624374917390125,0.526013701053382,0.404550473305341,0.667720755789362,0.497299463320905,0.469277306557308,NA,0.511782592731078,-0.0191606291531764,0.25020873592226,0.240743890753541,-0.23931932522633,0.230929562552512
"MOU",0.718344408521281,1,0.572019393357836,0.406816015119654,0.575535584594989,0.140996901095588,-0.0339644413384401,-0.0336145718782097,0.626149144467677,0.370758750498828,0.675680296882416,0.450148863703371,0.35892663423812,0.834955773791656,0.711942440807304,0.587376451445205,0.77104001794629,0.783198671743216,0.627198247425465,NA,0.678022341816262,-0.0932729167265823,0.292532602425568,0.282767751730893,-0.32573725466854,0.276369484551102
"RECCHRGE",0.661842181615549,0.572019393357836,1,0.319909142094062,0.200334972875297,0.130075478954043,-0.0200932813304974,-0.0234969256781649,0.370434328743421,0.212270273059686,0.381244532667874,0.199365998348422,0.185741226713638,0.478804519287299,0.41801772127989,0.327276604942112,0.539754690848226,0.382640356236488,0.365620875037943,NA,0.391356607283149,-0.0722805898667559,0.224312899643686,0.215692266514364,-0.261659846083818,0.209800170305504
"DIRECTAS",0.444988494335427,0.406816015119654,0.319909142094062,1,0.316510449983263,0.125468817903736,-0.0214088452858074,-0.0181823028614228,0.283897790941927,0.170197343634666,0.325502554534108,0.124147909190044,0.165226662772063,0.304129519685564,0.345456512592822,0.208764775336739,0.443695147159415,0.29376033028339,0.285911622755822,NA,0.309329694938789,0.00106459936742237,0.166659742834843,0.162032970252376,-0.139635713326039,0.143434261566589
"OVERAGE",0.786046203469864,0.575535584594989,0.200334972875297,0.316510449983263,1,0.108405643927835,-0.00746657493714104,-0.0162838199127749,0.375615612507474,0.216230097757929,0.399690034881647,0.179909733767794,0.221932636571324,0.524032573428798,0.424677655401351,0.332087381705504,0.517973510760108,0.414193696950574,0.375163078484733,NA,0.431416217606931,-0.0180878965623743,0.146266394284678,0.141510587208193,-0.143468640839754,0.138031969695405
"ROAM",0.268830809509617,0.140996901095588,0.130075478954043,0.125468817903736,0.108405643927835,1,-0.0358282394187895,-0.0232680191695444,0.119017643538889,0.0529305843174602,0.0840828146713857,0.0218418282793633,0.0458033691684037,0.0874510982096353,0.0749139176116337,0.0249543282970523,0.112385657951067,0.0576764581269549,0.106950766199455,NA,0.0645202110695322,-0.0253648985979231,0.0272212502425959,0.0201614793676204,-0.0462755260015552,0.0376590659199467
"CHANGEM",-0.0203438347627791,-0.0339644413384401,-0.0200932813304974,-0.0214088452858074,-0.00746657493714104,-0.0358282394187895,1,0.618869091147106,-0.0892734675252086,-0.0400442589149395,-0.0655132808343907,-0.0410241800824886,-0.0102609167483291,-0.096160914733222,-0.0649360021381627,-0.055964088735258,-0.0947332057768187,-0.0657481816751866,-0.0813337158503277,NA,-0.0877506312754348,0.0069665131641132,-0.00975254331109812,-0.00587373563316999,-0.00298822634939055,-0.00465551831294975
"CHANGER",-0.0244032925798247,-0.0336145718782097,-0.0234969256781649,-0.0181823028614228,-0.0162838199127749,-0.0232680191695444,0.618869091147106,1,-0.0594616663035911,-0.0251983794649167,-0.0517964092948949,-0.0520308250034134,-0.0131720193429263,-0.0713218813007822,-0.0495423041636032,-0.0424469189464292,-0.0789974180461202,-0.0439811372595164,-0.0549999113805293,NA,-0.0680640200250953,-0.00728093206600098,-0.0220437137544462,-0.017316542667168,0.00608858963390041,-0.0206756315496724
"DROPVCE",0.477245638795893,0.626149144467677,0.370434328743421,0.283897790941927,0.375615612507474,0.119017643538889,-0.0892734675252086,-0.0594616663035911,1,0.236181432946951,0.590830228301788,0.357299592730204,0.344775865019841,0.571641818195491,0.604054395170782,0.444781677435584,0.620796050985962,0.644645513640767,0.78055827580608,NA,0.46532875542431,-0.0570750447990866,0.23797855882257,0.22866034732883,-0.234354212986305,0.219056652753328
"BLCKVCE",0.267232686050066,0.370758750498828,0.212270273059686,0.170197343634666,0.216230097757929,0.0529305843174602,-0.0400442589149395,-0.0251983794649167,0.236181432946951,1,0.331970231291812,0.235983043291263,0.325773937537856,0.314834729975855,0.301612933189112,0.259578547330073,0.359472967754687,0.381625460118055,0.774648431356361,NA,0.362334779662106,-0.091142503184705,0.119830452176761,0.11226731259124,-0.164416929958114,0.108710493008117
"UNANSVCE",0.492598875019961,0.675680296882416,0.381244532667874,0.325502554534108,0.399690034881647,0.0840828146713857,-0.0655132808343907,-0.0517964092948949,0.590830228301788,0.331970231291812,1,0.465325641947907,0.357623608751328,0.600696588624243,0.609776451778009,0.501664609796958,0.720934248361504,0.749096244308466,0.577382614759958,NA,0.564848376698754,-0.0789560188155127,0.259023088871105,0.245073549437166,-0.26648258626191,0.241244698674004
"CUSTCARE",0.235424918693705,0.450148863703371,0.199365998348422,0.124147909190044,0.179909733767794,0.0218418282793633,-0.0410241800824886,-0.0520308250034134,0.357299592730204,0.235983043291263,0.465325641947907,1,0.284419862298167,0.375045464139435,0.348083065048218,0.285520647613133,0.353679216247767,0.482915246473195,0.377855357184155,NA,0.305514824444552,-0.132278755993129,0.137532998079834,0.126798457119482,-0.213021260794524,0.147919025811392
"THREEWAY",0.259243208732127,0.35892663423812,0.185741226713638,0.165226662772063,0.221932636571324,0.0458033691684037,-0.0102609167483291,-0.0131720193429263,0.344775865019841,0.325773937537856,0.357623608751328,0.284419862298167,1,0.318805952440803,0.314647991891207,0.245453715367179,0.332283647866664,0.39825394169737,0.434978964932824,NA,0.29948979955145,-0.085647807791739,0.12345221485547,0.109537707097328,-0.157049536172125,0.121455045264988
"MOUREC",0.624374917390125,0.834955773791656,0.478804519287299,0.304129519685564,0.524032573428798,0.0874510982096353,-0.096160914733222,-0.0713218813007822,0.571641818195491,0.314834729975855,0.600696588624243,0.375045464139435,0.318805952440803,1,0.696722902095955,0.659372733357806,0.764257648103941,0.771199173372296,0.556216675811726,NA,0.713739675711083,-0.0448640076303351,0.282142842071657,0.27503655046203,-0.267946094009635,0.259765307440574
"OUTCALLS",0.526013701053382,0.711942440807304,0.41801772127989,0.345456512592822,0.424677655401351,0.0749139176116337,-0.0649360021381627,-0.0495423041636032,0.604054395170782,0.301612933189112,0.609776451778009,0.348083065048218,0.314647991891207,0.696722902095955,1,0.756168603802124,0.735155785311501,0.776498062979993,0.569185057179422,NA,0.596675367224547,-0.0473973176989318,0.274503488662363,0.269302805319779,-0.26065570126168,0.263204209265771
"INCALLS",0.404550473305341,0.587376451445205,0.327276604942112,0.208764775336739,0.332087381705504,0.0249543282970523,-0.055964088735258,-0.0424469189464292,0.444781677435584,0.259578547330073,0.501664609796958,0.285520647613133,0.245453715367179,0.659372733357806,0.756168603802124,1,0.619580453225997,0.669762288179878,0.442042645815942,NA,0.558181802777737,-0.0386003446689575,0.258704326380744,0.256573182379559,-0.232447078537382,0.241496803666051
"PEAKVCE",0.667720755789362,0.77104001794629,0.539754690848226,0.443695147159415,0.517973510760108,0.112385657951067,-0.0947332057768187,-0.0789974180461202,0.620796050985962,0.359472967754687,0.720934248361504,0.353679216247767,0.332283647866664,0.764257648103941,0.735155785311501,0.619580453225997,1,0.715659749385986,0.615993541608729,NA,0.693700044044379,0.0178072909566861,0.343111091810096,0.331182663573676,-0.260088138057159,0.28112616389548
"OPEAKVCE",0.497299463320905,0.783198671743216,0.382640356236488,0.29376033028339,0.414193696950574,0.0576764581269549,-0.0657481816751866,-0.0439811372595164,0.644645513640767,0.381625460118055,0.749096244308466,0.482915246473195,0.39825394169737,0.771199173372296,0.776498062979993,0.669762288179878,0.715659749385986,1,0.649087303323294,NA,0.701600407066188,-0.109063074236571,0.277056108221264,0.268096799277341,-0.306043286951044,0.281871469625842
"DROPBLK",0.469277306557308,0.627198247425465,0.365620875037943,0.285911622755822,0.375163078484733,0.106950766199455,-0.0813337158503277,-0.0549999113805293,0.78055827580608,0.774648431356361,0.577382614759958,0.377855357184155,0.434978964932824,0.556216675811726,0.569185057179422,0.442042645815942,0.615993541608729,0.649087303323294,1,NA,0.519386799477183,-0.0939897478191856,0.224506123057493,0.213829557133942,-0.249677595920374,0.206064922554497
"CALLFWDV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"CALLWAIT",0.511782592731078,0.678022341816262,0.391356607283149,0.309329694938789,0.431416217606931,0.0645202110695322,-0.0877506312754348,-0.0680640200250953,0.46532875542431,0.362334779662106,0.564848376698754,0.305514824444552,0.29948979955145,0.713739675711083,0.596675367224547,0.558181802777737,0.693700044044379,0.701600407066188,0.519386799477183,NA,1,-0.0300463253149478,0.256183550660638,0.246648210538989,-0.219383495806862,0.223127351787317
"MONTHS",-0.0191606291531764,-0.0932729167265823,-0.0722805898667559,0.00106459936742237,-0.0180878965623743,-0.0253648985979231,0.0069665131641132,-0.00728093206600098,-0.0570750447990866,-0.091142503184705,-0.0789560188155127,-0.132278755993129,-0.085647807791739,-0.0448640076303351,-0.0473973176989318,-0.0386003446689575,0.0178072909566861,-0.109063074236571,-0.0939897478191856,NA,-0.0300463253149478,1,0.371350828894769,0.378370498403859,0.481360282012055,0.0441792846219537
"PHONES",0.25020873592226,0.292532602425568,0.224312899643686,0.166659742834843,0.146266394284678,0.0272212502425959,-0.00975254331109812,-0.0220437137544462,0.23797855882257,0.119830452176761,0.259023088871105,0.137532998079834,0.12345221485547,0.282142842071657,0.274503488662363,0.258704326380744,0.343111091810096,0.277056108221264,0.224506123057493,NA,0.256183550660638,0.371350828894769,1,0.896028560477617,-0.383469162540135,0.585135644624924
"MODELS",0.240743890753541,0.282767751730893,0.215692266514364,0.162032970252376,0.141510587208193,0.0201614793676204,-0.00587373563316999,-0.017316542667168,0.22866034732883,0.11226731259124,0.245073549437166,0.126798457119482,0.109537707097328,0.27503655046203,0.269302805319779,0.256573182379559,0.331182663573676,0.268096799277341,0.213829557133942,NA,0.246648210538989,0.378370498403859,0.896028560477617,1,-0.395316296395361,0.54506788549683
"EQPDAYS",-0.23931932522633,-0.32573725466854,-0.261659846083818,-0.139635713326039,-0.143468640839754,-0.0462755260015552,-0.00298822634939055,0.00608858963390041,-0.234354212986305,-0.164416929958114,-0.26648258626191,-0.213021260794524,-0.157049536172125,-0.267946094009635,-0.26065570126168,-0.232447078537382,-0.260088138057159,-0.306043286951044,-0.249677595920374,NA,-0.219383495806862,0.481360282012055,-0.383469162540135,-0.395316296395361,1,-0.439568073621362
"SETPRC",0.230929562552512,0.276369484551102,0.209800170305504,0.143434261566589,0.138031969695405,0.0376590659199467,-0.00465551831294975,-0.0206756315496724,0.219056652753328,0.108710493008117,0.241244698674004,0.147919025811392,0.121455045264988,0.259765307440574,0.263204209265771,0.241496803666051,0.28112616389548,0.281871469625842,0.206064922554497,NA,0.223127351787317,0.0441792846219537,0.585135644624924,0.54506788549683,-0.439568073621362,1
